price_id,book_id,amount,imported_price,source,date_added
344,344,,f,,2026-01-26 19:56:38.614712
345,345,,f,,2026-01-26 19:56:38.614712
346,346,,t,,2026-01-26 19:56:38.614712
347,347,,t,,2026-01-26 19:56:38.614712
348,348,,f,,2026-01-26 19:56:38.614712
349,349,,f,,2026-01-26 19:56:38.614712
350,350,,t,,2026-01-26 19:56:38.614712
351,351,,t,,2026-01-26 19:56:38.614712
352,352,15,f,,2026-01-26 19:56:38.614712
353,353,,f,,2026-01-26 19:56:38.614712
354,354,,f,,2026-01-26 19:56:38.614712
355,355,,f,,2026-01-26 19:56:38.614712
356,356,,t,,2026-01-26 19:56:38.614712
357,357,,t,,2026-01-26 19:56:38.614712
358,358,,t,,2026-01-26 19:56:38.614712
359,359,,f,,2026-01-26 19:56:38.614712
360,360,,t,,2026-01-26 19:56:38.614712
361,361,,t,,2026-01-26 19:56:38.614712
362,362,,f,,2026-01-26 19:56:38.614712
363,363,,f,,2026-01-26 19:56:38.614712
364,364,,f,,2026-01-26 19:56:38.614712
